Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2003-11-14,2004-35302-14138,2003-01470,"Host Selection Decisions and Mass Colonization in the Douglas-Fir Beetle, Dendroctonus Pseudotsugae (Coleoptera: Scolytidae)",IDAHO,BOISE STATE UNIVERSITY,70000,Organismal & Population Biology of Arthropods & Nematodes,National Research Initiative Competitive Grants Program
2003-08-13,2003-35101-13682,2003-01569,The Effects of Wildfire on Trophic Structure and Food Web Dynamics in Stream Ecosystems,IDAHO,BOISE STATE UNIVERSITY,66867,Managed Ecosystems,National Research Initiative Competitive Grants Program
2004-07-22,2004-35102-14802,2004-00882,Utilizing Ground-Penetrating Radar and Solute Tracer Experiments to Determine the Extent of the Hyporheic Zone in Mountain Streams,IDAHO,BOISE STATE UNIVERSITY,83489,Water and Watersheds,National Research Initiative Competitive Grants Program
2006-07-24,2006-35101-17430,2006-01372,"Understanding Linkages Between Agricultural and Natural Systems:  Trophic Structure, Pesticide Exposure, and Costs and Benefits of Group Liv",IDAHO,BOISE STATE UNIVERSITY,100000,Managed Ecosystems,National Research Initiative Competitive Grants Program
2008-08-13,2008-35320-04555,2008-03063,Analysis of native and introduced populations of an invasive plant: management of medusahead (Taeniatherum caput-medusae) in western US,IDAHO,BOISE STATE UNIVERSITY,99929,Biology of Weedy & Invasive Species in Agroecosystems,National Research Initiative Competitive Grants Program
2009-09-28,2009-65119-05977,2009-01778,Enterotoxin-based mucosal vaccines to prevent bovine mastitis caused by Staphylococcus aureus,IDAHO,BOISE STATE UNIVERSITY,144015,Animal Health and Well-Being: Animal Well-Being,Agriculture and Food Research Initiative
2009-12-15,2010-85101-20480,2009-04482,Functional Diversity of Native Mycorrhizae During Early Development of Big Sagebrush; A Step(pe) Towards Restoring Sagebrush Ecosystems,IDAHO,BOISE STATE UNIVERSITY,140474,Managed Ecosystems,Agriculture and Food Research Initiative
2012-08-30,2012-67010-20069,2012-00910,At The Root Of Sustainable Bioenergy: Using Genetic Variation In Root Traits To Maximize Soil Carbon Sequestration And Biomass Yields,IDAHO,BOISE STATE UNIVERSITY,492900,"Environmental Implications of Direct and Indirect Land Use Change, AFRI",Agriculture and Food Research Initiative
2012-08-16,2012-68002-19952,2012-00932,Enhancing Greenhouse Gas Mitigation And Economic Viability Of Anaerobic Digestion Systems: Algal Carbon Sequestration And Bioplastics Produc,IDAHO,BOISE STATE UNIVERSITY,680217,"Integrated Approaches to Climate Adaptation and Mitigation in Agroecosystems, AFRI",Agriculture and Food Research Initiative
2013-12-19,2014-67016-21625,2013-01189,Novel vaccines to prevent bovine mastitis caused by Staphylococcus aureus and Streptococcus uberis,IDAHO,BOISE STATE UNIVERSITY,499815,Animal Health and Production and Animal Products: Animal Health and Disease,Agriculture and Food Research Initiative
2014-12-23,2015-67016-22976,2014-06321,The BioTek Cytation 3 to Promote Vaccine Development for Bovine Mastitis,IDAHO,BOISE STATE UNIVERSITY,47041,Animal Health and Production and Animal Products: Animal Health and Disease,Agriculture and Food Research Initiative
2018-04-03,2018-67020-27857,2017-05474,"Functional Significance Of The Tripartite Association Among Sagebrush Seedlings, Arbuscular Mycorrhizal Fungi, And Dark Septate Endophytes",IDAHO,BOISE STATE UNIVERSITY,139519,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2018-06-06,2018-67016-28297,2017-05752,Defining the role of Salmonella Typhimurium ArtAB toxin in diarrheal disease to promote bovine vaccine development,IDAHO,BOISE STATE UNIVERSITY,149997,Animal Health and Production and Animal Products: Animal Health and Disease,Agriculture and Food Research Initiative
2018-03-09,2018-69002-27962,2017-07361,Overcoming perceptual barriers to climate change adaptation among ranchers in the western US,IDAHO,BOISE STATE UNIVERSITY,148251,Climate and Land Use,Agriculture and Food Research Initiative
2018-02-16,2018-67018-27881,2017-08124,Cold Plasma Source For Treatment Of Food And Food Processing Equipment To Enhance Food Safety,IDAHO,BOISE STATE UNIVERSITY,147723,Improving Food Safety,Agriculture and Food Research Initiative
2019-04-18,2019-67019-29458,2018-07040,Developing Integrated Research and Decision Support Tools to Support Farmland Preservation for Ecosystem Services (FarmPrES),IDAHO,BOISE STATE UNIVERSITY,195645,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2019-08-29,2019-67022-29925,2018-09177,FACT: Drought decision-support platform (DDeSuP): Deriving physical drought metrics from Earth observations for integration into ranch management and economic models,IDAHO,BOISE STATE UNIVERSITY,197142,Food and Agriculture Cyberinformatics and Tools,Agriculture and Food Research Initiative
2020-04-10,2020-67018-30789,2019-06949,Engineering Plasma Arrays to Remove Biofilms from Food Processing Surfaces,IDAHO,BOISE STATE UNIVERSITY,478500,Food Safety and Defense,Agriculture and Food Research Initiative
2020-12-10,2021-67019-33918,2020-05120,"Impact of diversity in the pool of exotic species invading rangelands: response of soil resources, productivity and restoration potential",IDAHO,BOISE STATE UNIVERSITY,499935,"Renewable Energy, Natural Resources, and Environment: Agroecosystem Management",Agriculture and Food Research Initiative
2021-03-16,2021-67023-34481,2020-06917,ProRurUL: Protecting Agricultural Land in Rural Landscapes experiencing Urban and Low-density Residential Developments,IDAHO,BOISE STATE UNIVERSITY,499965,Agriculture Economics and Rural Communities: Environment,Agriculture and Food Research Initiative
2021-02-11,2021-67019-34340,2020-10607,"SitS: Collaborative Research: Soils are signaling shifts in aggregate life-cycles: What does this mean for water, carbon and climate feedbacks in the Anthropocene?",IDAHO,BOISE STATE UNIVERSITY,229934,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2021-11-24,2022-67020-36410,2021-09106,Development of integrated predictive water quantity and quality models to support healthy agroecosystems and water resource management.,IDAHO,BOISE STATE UNIVERSITY,298629,Foundational Program:  Agricultural Water Science,Agriculture and Food Research Initiative
2022-04-01,2022-67020-37132,2021-09786,"Developing a Systematic Approach to Farmland Protection Planning based on Ecosystem Services, Climate Resiliency, and Social Acceptability",IDAHO,BOISE STATE UNIVERSITY,650000,"Renewable Energy, Natural Resources, and Environment: Agroecosystem Management",Agriculture and Food Research Initiative
2023-05-24,2023-67011-40387,2022-11299,Examining the influence of diverse stakeholder collaboration on land management & agricultural sustainability in the Thunder Basin ecoregion (TBER),IDAHO,BOISE STATE UNIVERSITY,119978,AFRI Predoctoral Fellowships,Agriculture and Food Research Initiative
2023-06-12,2023-67011-40504,2022-11303,"Linking sense of place, landscape values, and management attitudes to promote resilient rural agricultural communities undergoing change",IDAHO,BOISE STATE UNIVERSITY,119987,AFRI Predoctoral Fellowships,Agriculture and Food Research Initiative
2023-05-18,2023-67022-40006,2022-11619,DSFAS-CIN: Creating opportunities for voluntary participation in climate-smart agriculture in the western United States,IDAHO,BOISE STATE UNIVERSITY,1000000,Food and Agriculture Cyberinformatics and Tools,Agriculture and Food Research Initiative
