Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2010-09-30,2010-48679-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,7520,N/A,N/A
2009-09-30,2009-48679-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,6831,N/A,N/A
2008-09-30,2008-48679-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,7953,N/A,N/A
2002-09-30,2002-48559-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,2000,N/A,N/A
2002-09-30,2002-48540-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,2063,N/A,N/A
2003-09-30,2003-48326-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,10500,N/A,N/A
2002-09-30,2002-48326-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,2500,N/A,N/A
2010-09-30,2010-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,12036,N/A,N/A
2009-09-30,2009-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,15028,N/A,N/A
2008-09-30,2008-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,14699,N/A,N/A
2007-09-30,2007-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,14699,N/A,N/A
2006-09-30,2006-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,14858,N/A,N/A
2005-09-30,2005-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,15038,N/A,N/A
2004-09-30,2004-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,15038,N/A,N/A
2003-09-30,2003-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,13270,N/A,N/A
2002-09-30,2002-48024-02600,N/A,N/A,MONTANA,SAES - MONTANA STATE UNIVERSITY,23159,N/A,N/A
2024-02-15,NI24RREAFXXXG002,N/A,N/A,MONTANA,MONTANA STATE UNIVERSITY,24373,Renewable Resources Extension Act,Other Programs
2022-11-23,NI23RREAFXXXG067,N/A,N/A,MONTANA,MONTANA STATE UNIVERSITY,60933,Renewable Resources Extension Act,Other Programs
2021-12-06,NI22RREAFXXXG053,N/A,N/A,MONTANA,MONTANA STATE UNIVERSITY,60933,Renewable Resources Extension Act,Other Programs
2020-12-21,NI21RREAFXXXG068,N/A,N/A,MONTANA,MONTANA STATE UNIVERSITY,60933,Renewable Resources Extension Act,Other Programs
2020-04-16,NI20RREAFXXXG020,N/A,N/A,MONTANA,MONTANA STATE UNIVERSITY,65278,Renewable Resources Extension Act,Other Programs
