Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2024-02-22,NI24MSCFRXXXG073,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,236891,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2022-11-23,NI23MSCFRXXXG056,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,592229,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2021-12-01,NI22MSCFRXXXG067,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,566225,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2020-12-28,NI21MSCFRXXXG062,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,603287,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2020-05-18,NI20MSCFRXXXG023,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,668662,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2019-03-05,NI19MSCFRXXXG012,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,698462,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2018-04-02,NI18MSCFRXXXG071,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,680978,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2017-03-24,NI17MSCFRXXXG037,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,679280,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2010-09-30,2010-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,551110,N/A,N/A
2009-09-30,2009-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,504086,N/A,N/A
2008-09-30,2008-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,453882,N/A,N/A
2007-09-30,2007-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,551646,N/A,N/A
2006-09-30,2006-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,402331,N/A,N/A
2005-09-30,2005-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,409114,N/A,N/A
2004-09-30,2004-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,401097,N/A,N/A
2003-09-30,2003-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,401570,N/A,N/A
2002-09-30,2002-32100-06100,N/A,N/A,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,429313,N/A,N/A
2002-07-18,2002-35107-12267,2002-00872,Fire Suppression in Ponderosa Pine/Douglas-Fir Ecosystems Causes Shifts in Soil Resource Availability,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,260989,Soil Processes,National Research Initiative Competitive Grants Program
2002-07-22,2002-35102-12371,2002-01312,Acquisition of a Norton Rainfall Simulator for Runoff and Erosion Studies in the Northern Rocky Mountain Region,MONTANA,UNIVERSITY OF MONTANA,17670,Water and Watersheds,National Research Initiative Competitive Grants Program
2002-06-04,2002-34463-11929,2002-06185,Value Added Product Development from Agricultural Resources,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,303057,"Value-Added Product Dev/Agri Resources, MT",Special Research Grants Program
2003-07-31,2003-35101-13597,2003-01823,Demography of Native and Exotic Plants in a Restoration-Agricultural Habitat Mosaic Along the Sacramento River,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,74952,Managed Ecosystems,National Research Initiative Competitive Grants Program
2003-07-24,2003-35107-13645,2003-01901,"Analysis of Bacterial Communities Associated with Aggregate Size Fractions of Native Vegetation, No-Tillage, & Conventional Tillage Systems",MONTANA,UNIVERSITY OF MONTANA,89953,Soil Processes,National Research Initiative Competitive Grants Program
2003-07-17,2003-35107-13629,2003-01946,The Gene for the Arbuscular Mycorrhizal Fungal Protein Glomalin: Characterization and Function,MONTANA,UNIVERSITY OF MONTANA,127403,Soil Processes,National Research Initiative Competitive Grants Program
2003-10-31,2004-35107-14148,2003-01971,A Portable Gas Chromatograph for Nitrogen and Fixation Soil Respiration Studies in Ecosystems of the Inland Northwest,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,16150,Soil Processes,National Research Initiative Competitive Grants Program
2003-07-25,2003-35320-13586,2003-02433,Centaurea Invasion: From Molecules and Microbes to Plant Communities,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,219978,Biology of Weedy & Invasive Species in Agroecosystems,National Research Initiative Competitive Grants Program
2003-05-07,2003-34463-13003,2003-06171,Value Added Product Development from Agricultural Resources,MONTANA,UNIVERSITY OF MONTANA,382632,"Value-Added Product Dev/Agri Resources, MT",Special Research Grants Program
2004-08-26,2004-35102-15012,2004-01177,The Role of Vegetative Ash in Post-Fire Runoff and Erosion Processes,MONTANA,UNIVERSITY OF MONTANA,409689,Water and Watersheds,National Research Initiative Competitive Grants Program
2004-07-22,2004-35107-14888,2004-03501,Unraveling Complexity:  Towards a Comprehensive Survey of Soil Bacterial Populations Through Analysis of Fractionated Community DNA,MONTANA,UNIVERSITY OF MONTANA,390877,Soil Processes,National Research Initiative Competitive Grants Program
2004-05-25,2004-34463-14477,2004-06184,Value Added Product Development from Agricultural Resources,MONTANA,UNIVERSITY OF MONTANA,341737,"Value-Added Product Dev/Agri Resources, MT",Special Research Grants Program
2005-07-28,2005-35320-16267,2005-02278,Invasive Plant Facilitated Alteration of AMF Communities Infecting Roots of Native Plants: Does it Alter Plant Succession?,MONTANA,UNIVERSITY OF MONTANA,218848,Biology of Weedy & Invasive Species in Agroecosystems,National Research Initiative Competitive Grants Program
2005-07-14,2005-35101-16144,2005-02817,Experimental Test of Unglulate Herbivory Effect on the Decline and Potential Recovery of a Riparian Ecosystem,MONTANA,UNIVERSITY OF MONTANA,380000,Managed Ecosystems,National Research Initiative Competitive Grants Program
2005-07-18,2005-35101-16040,2005-02827,"Assessing the Indirect Effects of Top Predators on the Diversity, Productivity and Health of Grassland Systems",MONTANA,UNIVERSITY OF MONTANA,299985,Managed Ecosystems,National Research Initiative Competitive Grants Program
2005-04-28,2005-34463-15561,2005-06179,Value Added Product Development from Agricultural Resources,MONTANA,UNIVERSITY OF MONTANA,377803,"Value-Added Product Dev/Agri Resources, MT",Special Research Grants Program
2006-07-06,2006-55101-17158,2006-01361,Novel Use of a Landbird Database to Inform Management,MONTANA,UNIVERSITY OF MONTANA,466000,Managed Ecosystems,National Research Initiative Competitive Grants Program
2006-11-27,2007-35401-17742,2006-03011,Return Migration to Geographically Disadvantaged Communities of the Rural United States,MONTANA,UNIVERSITY OF MONTANA,310457,Rural Development,National Research Initiative Competitive Grants Program
2006-05-30,2006-34463-16886,2006-06211,Value Added Product Development From Agricultural Resources,MONTANA,UNIVERSITY OF MONTANA,374309,"Value-Added Product Dev/Agri Resources, MT",Special Research Grants Program
2008-09-05,2008-38420-19524,2008-03579,Graduate training in multi-scale analysis of forest disturbance ecology,MONTANA,UNIVERSITY OF MONTANA,236000,National Needs Graduate Fellowships Program,National Needs Graduate Fellowship Grant Program
2009-02-19,2009-10003-05137,2009-00781,Biopower Demonstration and Educational Outreach,MONTANA,UNIVERSITY OF MONTANA,473929,Biomass R&D Initiative Awards Funded Prior to FY2009,Biomass Research and Development Initiative
2010-09-17,2010-38411-21785,2010-01832,Training Leaders in Climate Change and Natural Resources through Experiential and Field-Based Learning,MONTANA,UNIVERSITY OF MONTANA,140165,Higher Ed Challenge,Challenge Grants Program
2011-08-11,2011-67012-30751,2010-05194,Structure and Function of the European Corn Borer Sex Pheromone Receptors,MONTANA,UNIVERSITY OF MONTANA,129971,AFRI Post Doctoral Fellowships,Agriculture and Food Research Initiative
2011-04-12,2011-32100-06100,2011-02084,FY 2011 McIntire Stennis Forestry Research Funding,MONTANA,FRST - UNIVERSITY OF MONTANA-FORESTRY SCHOOL,240709,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
