Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2010-09-30,2010-48679-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,12024,N/A,N/A
2009-09-30,2009-48679-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,12848,N/A,N/A
2008-09-30,2008-48679-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,26180,N/A,N/A
2003-09-30,2003-48326-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,2500,N/A,N/A
2010-09-30,2010-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,19231,N/A,N/A
2009-09-30,2009-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,28265,N/A,N/A
2008-09-30,2008-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,16904,N/A,N/A
2007-09-30,2007-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,16904,N/A,N/A
2006-09-30,2006-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,17085,N/A,N/A
2005-09-30,2005-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,17293,N/A,N/A
2004-09-30,2004-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,17293,N/A,N/A
2003-09-30,2003-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,15452,N/A,N/A
2002-09-30,2002-48024-04800,N/A,N/A,WASHINGTON,SAES - WASHINGTON STATE UNIVERSITY,26967,N/A,N/A
2024-02-21,NI24RREAFXXXG070,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,33064,Renewable Resources Extension Act,Other Programs
2022-11-23,NI23RREAFXXXG063,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
2021-12-06,NI22RREAFXXXG069,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,84108,Renewable Resources Extension Act,Other Programs
2020-12-22,NI21RREAFXXXG041,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,84108,Renewable Resources Extension Act,Other Programs
2020-04-22,NI20RREAFXXXG040,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
2019-02-19,NI19RREAFXXXG056,N/A,N/A,WASHINGTON,WASHINGTON STATE UNIVERSITY,82660,Renewable Resources Extension Act,Other Programs
